epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.897,1.67191,2.28513,1.74173,0.41169,0.39456,0.41975,0.23194,2.14292,2.61832,2.37447,3.33042e-05,3.33042e-05,0.0667291
2,489.507,1.49191,1.9338,1.61459,0.42914,0.43055,0.43621,0.25821,2.11107,2.40995,2.34119,6.59168e-05,6.59168e-05,0.0334283
3,701.526,1.40315,1.78263,1.5481,0.43278,0.42982,0.43361,0.2308,2.2529,2.62151,2.45709,9.56927e-05,9.56927e-05,0.000124779
4,912.045,1.34818,1.69189,1.50367,0.39565,0.42698,0.40983,0.21588,2.28255,2.7347,2.5049,9.05463e-05,9.05463e-05,9.05463e-05
5,1121.98,1.30045,1.61438,1.46359,0.4522,0.47871,0.46557,0.29829,2.02336,2.50312,2.28488,8.3622e-05,8.3622e-05,8.3622e-05
6,1370.44,1.2879,1.47059,1.48323,0.43216,0.4394,0.43973,0.23816,2.28782,2.48329,2.45738,7.525e-05,7.525e-05,7.525e-05
7,1615.86,1.24926,1.38355,1.45155,0.43174,0.4367,0.44242,0.2435,2.28494,2.40574,2.46514,6.57963e-05,6.57963e-05,6.57963e-05
8,1868.12,1.22372,1.33803,1.42518,0.49826,0.48496,0.49125,0.25619,2.24621,2.46733,2.40733,5.56742e-05,5.56742e-05,5.56742e-05
9,2104.18,1.20447,1.2994,1.40606,0.43617,0.42928,0.42317,0.23758,2.25039,2.56161,2.45475,4.53258e-05,4.53258e-05,4.53258e-05
10,2310.58,1.18389,1.26997,1.38874,0.45197,0.43275,0.43583,0.22012,2.37173,2.49323,2.54506,3.52037e-05,3.52037e-05,3.52037e-05
11,2518.94,1.1647,1.24153,1.37191,0.43804,0.40612,0.42258,0.23435,2.31839,2.54732,2.5323,2.575e-05,2.575e-05,2.575e-05
12,2726.51,1.15457,1.22022,1.36218,0.47786,0.45275,0.47067,0.25579,2.29471,2.52808,2.49277,1.7378e-05,1.7378e-05,1.7378e-05
13,2933.32,1.14561,1.2081,1.35462,0.49253,0.4491,0.46225,0.23418,2.33908,2.53445,2.5266,1.04537e-05,1.04537e-05,1.04537e-05
14,3140.82,1.13858,1.1955,1.34592,0.50648,0.47073,0.47155,0.25421,2.2744,2.47979,2.48292,5.2795e-06,5.2795e-06,5.2795e-06
15,3347.67,1.13261,1.19326,1.34169,0.50212,0.46919,0.47302,0.25278,2.28449,2.52179,2.49697,2.08169e-06,2.08169e-06,2.08169e-06
