epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.408,1.55237,1.95116,1.70787,0.40246,0.37005,0.37722,0.23295,2.25044,2.53682,2.48374,3.33042e-05,3.33042e-05,0.0667291
2,789.903,1.37129,1.66076,1.55124,0.39103,0.38417,0.40694,0.2317,2.25153,2.52675,2.50079,6.59168e-05,6.59168e-05,0.0334283
3,1167.19,1.29245,1.54701,1.4884,0.39987,0.41891,0.42467,0.2132,2.36274,2.50173,2.53336,9.56927e-05,9.56927e-05,0.000124779
4,1543.79,1.24212,1.47816,1.44272,0.39427,0.43911,0.42546,0.23745,2.19957,2.53854,2.43925,9.05463e-05,9.05463e-05,9.05463e-05
5,1954.83,1.18652,1.40857,1.40368,0.47271,0.41553,0.45477,0.2825,2.09564,2.52588,2.316,8.3622e-05,8.3622e-05,8.3622e-05
6,2366.32,1.1798,1.25189,1.41375,0.44653,0.41354,0.4446,0.22762,2.40659,2.50513,2.60425,7.525e-05,7.525e-05,7.525e-05
