epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.379,1.67191,2.28513,1.74173,0.41169,0.39456,0.41975,0.23194,2.14292,2.61832,2.37447,3.33042e-05,3.33042e-05,0.0667291
2,474.13,1.49191,1.9338,1.61459,0.42914,0.43055,0.43621,0.25821,2.11107,2.40995,2.34119,6.59168e-05,6.59168e-05,0.0334283
3,707.068,1.40315,1.78263,1.5481,0.43278,0.42982,0.43361,0.2308,2.2529,2.62151,2.45709,9.56927e-05,9.56927e-05,0.000124779
