epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.696,1.55433,1.91092,1.6952,0.36042,0.32941,0.23944,0.11323,2.44606,2.51653,2.59768,3.33042e-05,3.33042e-05,0.0667291
2,829.735,1.37878,1.64943,1.55336,0.4168,0.37037,0.25362,0.11788,2.4206,2.46233,2.60376,6.65725e-05,6.65725e-05,0.033429
3,1243.78,1.29813,1.54324,1.49097,0.41482,0.4527,0.26823,0.13026,2.34602,2.49694,2.5919,9.95807e-05,9.95807e-05,0.000128667
4,1703.43,1.24651,1.48048,1.45195,0.45029,0.53781,0.29798,0.13796,2.27335,2.56237,2.468,9.91232e-05,9.91232e-05,9.91232e-05
